question,answer
Le service de contenu Molotov avec Orange,"Molotov permet d’accéder en illimité à un large catalogue de séries et longs métrages accessibles en streaming mais aussi à la TV en direct. Molotov permet d’accéder en illimité à un large catalogue de séries et longs métrages accessibles. Elle est disponible en site WEB et application mobile permettant de regarder des séries, films et également des diffusions live de chaines TV Vous pouvez accéder au service 24h/24 7j/7 depuis le site https://africa.molotov.tv à partir de 100F /jour. Pour vous désabonner, c’est simple, il vous suffit de cliquer sur le menu hamburger puis votre numéro, d’envoyer gratuitement « STOP » par sms au numéro 21302 ou en contactant le support dédié via le site http://www.mes-abonnements-gn.com/contact.php ou encore de composer le #303#10# Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2994226-service-contenu-molotov-orange"
"Samay Xeweul : Acheter vos forfaits illimix, Mixel chez le distributeur","Samay Xeweul : Acheter vos forfaits illimix, Mixel chez le distributeur Avec le service Xeweul, vous pouvez désormais acheter directement des pass Illimix, Mixel et internet au niveau des points de vente de votre localité, partout en national. Ainsi vous accédez plus facilement aux meilleures offres chez nos distributeurs Vous pouvez acheter des Illimix, Mixel et des pass internet. Avec Xeweul, c’est le vendeur qui effectue directement la transaction pour votre numéro, sans frais supplémentaire. Les offres Xeweul sont disponibles pour tous les clients Jamono et Kirène avec Orange sur toute l’étendue du territoire national Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2991029-samay-xeweul-acheter-forfaits-illimix-mixel-distributeur"
Encaisser facilement vos paiements avec service Wéli de Orange Money,"Le service Weli permet aux clients Orange Money de recevoir des paiements sur leur compte principal tout en bénéficiant d’avantages spécifiques. Pour bénéficier de cette offre, il suffit : -D’être un client normalement identifié (Déplafonné) -D’avoir une activité de commerce -D’évoluer dans le secteur informel Les avantages : Pas besoin de disposer de documents administratifs de type RC, NINEA Vous pouvez encaisser par QR Code (badge, sticker) ou via le #144# Un paiement effectué pour mon compte ne peut être annulé sans ma validation Vous pouvez réutiliser l’argent encaissé pour faire des usages tels que l’achat de crédit, le transfert d’argent, le paiement de facture, etc. L’accès à l’offre Wéli est gratuit. De même, le service est totalement gratuit pour le marchand Wéli. C’est le client qui paye qui supporte les frais (0,8%) Nos équipes commerciales sur le terrain sont à votre disposition pour vous activer le service. Vous avez également la possibilité de nous contacter au Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2979083-encaisser-facilement-paiements-service-weli-orange-money"
Recevoir votre Nano crédit (Prêt) de la DER sur votre kalpé Orange Money,"Recevoir votre Nano crédit (Prêt) de la DER sur votre kalpé Orange Money Lors du dépôt de votre demande de crédit à la DER/FJ vous pouvez désormais choisir Orange Money comme kalpé de réception de votre crédit, la DER pourra positionner le montant. Le crédit peut aller jusqu’à 500.000F et il appartient au partenaire de déterminer le montant auquel vous êtes éligible. La durée du crédit est de 3 à 6 mois, selon le montant du crédit avec la possibilité de payer par anticipation sans pénalité Vous avez la possibilité de rembourser partiellement, par anticipation ou à l’échéance. Pour souscrire, Il faut vous rendre dans les bureaux Nano-crédit de la DER pour les formalités nécessaires Plus d’information sur https://www.orange.sn/orange-money Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2979030-recevoir-nano-credit-pret-der-kalpe-orange-money"
Mixel 490F Exclusif Orange et Moi,"A Un nouveau Mixel490F est proposé exclusivement sur le canal Orange et Moi aux clients Kirène avec Orange. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2967585-mixel-490f-exclusif-orange"
Camon 18P chez Orange Sénégal,"Avec la nouvelle Gamme Tecno, vivez une expérience unique avec un écran de 6,8 pouces, une capacité de stockage de 128 GO et une batterie longue durée de 5000 mAh. Soutenu par un HiOS 8.0 remanié, la série Camon se montre sous son meilleur jour, dépassant une fois de plus les attentes pour produire de superbes photos et vidéos. Profitez de ce joli bijou milieu de Gamme pour vivre le meilleur de la 4G. Un pass Internet de 4,5Go est offert aux clients prépayés: 2,5 Go puis 1Go/mois pendant 2 mois avec une validité de 7 jours, utilisable uniquement en 4G au #141#. Disponible en agence et sur la boutique en ligne https://boutique.orange.sn/product/tecno-tecno-camon-18p-blanc-128go%7Ctag=1054 Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2914036-camon-18p-orange-senegal"
L’ App Center de Orange :,"Les clients Orange avec un téléphone Andoid peuvent télécharger gratuitement l’’application App Center sur https://apps.orange.com/fr/SN . L’App Center vous permet de télécharger les applications et de mettre automatiquement à jour les applications : Orange et Moi, Orange Money, et autres applis partenaires sans consommer votre Pass internet Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2907425-app-center-orange"
Conseils pratiques pour éviter les arnaques sur Orange Money,"Des personnes mal intentionnées appellent les clients Orange sur leur téléphone fixe et/ou mobile, dans le but de les arnaquer. Ils prétendent vous envoyer un sms de sécurisation de votre compte Orange Money en vous demandant par la suite votre date de naissance. Elle est souvent le code par défaut des clients. Choisissez votre code secret avec soin et ne le communiquez surtout pas. Plus d'informations sur https://www.orange.sn/actualite/stop-arnaque Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2901337-conseils-pratiques-eviter-arnaques-orange-money"
Comment signaler des lenteurs sur votre connexion Fibre Optique Orange,"Si vous notez des lenteurs sur votre réseaux Wifi Fibre Optique, vous pouvez contacter l’assistance technique au #1413#, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2901319-signaler-lenteurs-connexion-fibre-optique-orange"
Vos équipements mobiles téléphones accessoires sur la Boutique en ligne Orange,"Pour vos terminaux et accessoires mobiles, rdv sur https://boutique.orange.sn/hub/accessoires. Une large de gamme d’équipements vous y attends. Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2901310-equipements-mobiles-telephones-accessoires-boutique-ligne-orange"
Un modem Wifi 4G à 20.000F seulement,"Avec ce modem Domino MW45 à seulement 20.000 F sur https://boutique.orange.sn/product/alcatel-modem-domino-blanc%7Ctag=1036, vous pouvez connecter jusqu’à 16 appareils en mode Wifi avec 15 utilisateurs connectés simultanément à internet . Vous pourrez le recharger facilement avec notre gamme de Pass sur Orange et Moi ou #144# ou #1234#. Vous pouvez acheter la carte Sim 4G en agence à 500F. Rendez-vous sur www.passorange.sn pour recharger facilement avec notre gamme de Pass. Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2901293-modem-wifi-4g-20-000f-seulement"
Jamono New S'coll: Allo S’cool 30 mn d’appels non stop pour 200F,"Avec l’offre Allo S’cool, on peut poindre l’ensemble de ses contacts au Sénégal pendant 30 minutes non stop pour seulement 200F : Offre disponible au #205# et sur Orange et moi, valable uniquement pour les clients Jamono New S’cool. Rejoins S’cool au #605# pour encore plus de bons plans ! Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2901265-jamono-new-coll-allo-cool-30-mn-appels-stop-200f"
"Orange Money : Transfert international à 1,5% de frais d’envoi :","Le transfert d’argent vers la sous-région devient encore plus simple & moins cher avec Orange Money ! Désormais, payez seulement 1,5% de frais d’envoi pour vos transferts d’argent vers le Sénégal, la Côte d’ivoire, la Guinée Bissau, le Burkina & le Mali ! Et le plus? Les retraits deviennent 100% gratuits ! Partagez avec vos proches en profitant du plus large réseau de distribution disponible PARTOUT dans la sous-région ! Plus d’infos sur orange.sn/orange-money Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894912-orange-money-transfert-international-1-5-frais-envoi"
Orange Money : Avec quelle banques je peux lier mon compte Orange Money à mon compte bancaire ?,"Les clients de : Ecobank, Bicis, UBA, Orabank, NSIA bank, BOA et Banque Atlantique peuvent lier leur compte bancaire avec Orange Money pour effectuer des transferts entre les deux comptes. La souscription se fait auprès de la banque partenaire. Plus d’infos sur orange.sn/orange-money Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894911-orange-money-banques-peux-lier-compte-orange-money-compte-bancaire"
Orange Money : Retrait gratuit à partir du sous compte réception internationale,"Orange Money innove encore pour vous ! Avec nos partenaires Western Union, RIA et Tap Tap Send, recevez vos transferts internationaux directement dans votre kalpé Orange Money à tout moment et sans vous déplacer ! L’argent reçu est directement positionné dans votre sous compte réception internationale et vous pouvez le retirer gratuitement ou le transférer vers votre compte principal pour d’autres usages (transfert, achat de Pass Internet ou d’Illimix, paiement de factures etc.). Orange Money, moy kalpé bi gën té woor ci #144# + d’infos sur orange.sn/orange-money Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894910-orange-money-retrait-gratuit-partir-compte-reception-internationale"
Connexion Wifi haut débit 4G et 4G+ à partir de 12.900F/mois.,"Profitez d’une nouvelle gamme de Box avec une connexion rapide et illimitée, adaptée à tous vos besoins ou que vous soyez au Sénégal. Disponible avec ou sans engagement, ces Box vous garantissent une connectivité performante à l’image de l’adsl . La Box Max à 12.900F/ mois avec un débit maximum de 4mbps La Box Intense à 19.900F/ mois avec un débit maximum de 8mbps Les frais d'accès s'élèvent à 35.000F Utilisables instantanément, les Box rendent internet accessible à tous pour mieux se rapprocher de ceux qui comptent. PS : cumul du pass 15Go avec les pass principaux Box: Box Max ( 300 Go) , Box Intense ( 400 Go), Box Classic ( 100 Go) n’est pas possible. Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894909-connexion-wifi-haut-debit-4g-4g-partir-12-900f-mois"
Comment recharger un compteur Woyofal par Orange Money,"Pour recharger votre compteur Woyofal avec Orange Money, téléchargez les applications Orange Money , Orange et Moi ou au composez-le #144#342#. Le montant d'achat de code de recharge Woyofal doit être compris entre 1000F et 1 500 000F. Le code de recharge acheté doit être de (Vingt) 20 Chiffres. Pour acheter un code , le client doit saisir son numéro de compteur et le code acheté ne pourra être rechargé que sur ce numéro de compteur. Un nouveau client Woyofal reçoit 3 codes qu'il doit recharger dans l'ordre de réception. Vous pouvez aussi acheter un code de recharge Woyofal pour vos proches en ayant leur numéro de compteur Woyofal. Les frais s’élèvent à 1% du montant rechargé. Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894908-recharger-compteur-woyofal-orange-money"
Quelle est la différence entre box bi et les autres offres wifi à la maison ?,"Alors que les autres offres sont basées sur l'ADSL ou la Fibre optique; l'offre Box bi se base sur le réseau 3G/4G pour vous offrir des débits d'une grande rapidité. De plus vous n'avez pas besoin d'installation, la Box bi fonctionne en ""plug and play"" c'est à dire qu'il vous suffit juste de brancher le modem pour commencer à l'utiliser. Vous avez également un plus grand contrôle de votre consommation puisque vous pouvez soit recharger votre box via des Pass Internet ( comme sur votre mobile) soit souscrire à un abonnement. Si vous êtes une personne qui voyage beaucoup, la Box bi est idéale car vous n'avez pas à demander de suspension temporaire de votre ligne, il vous suffit de ne pas recharger. Plus d’informations sur https://www.orange.sn/internet-adsl-fibre/box-bi-63 Pour toute assistance complémentaire, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail au serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894907-difference-box-bi-offres-wifi-maison"
Quels sont les avantages l'offre Box bi?,"Alors que les autres offres sont basées sur l'ADSL ou la Fibre optique; l'offre Box bi se base sur le réseau 3G/4G pour vous offrir des débits d'une grande rapidité. De plus... Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894906-avantages-offre-box-bi"
Je convertis mes points Orange sargal facilement avec Orange et Moi?,"Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894904-convertis-points-orange-sargal-facilement-orange"
Comment suivre ma consommation sur Orange et Moi ?,"Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894903-suivre-consommation-orange"
"J'ai oublié mon de passe Orange et Moi, Comment le retrouver?","Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894902-oublie-orange-retrouver"
Faire une demande de déplafonnement sur Orange et Moi,"Avec votre application Orange et Moi, vous pouvez déplafonner votre compte Orange Money en toute simplicité Pour ce faire, voici les étapes à suivre : Accédez à l’accueil, Appuyer sur « Assistance » puis sur « Voir tous les actes », choisir « Orange Money » , Appuyer sur « déplafonner mon Compte » et suivre les instructions. Pour toute demande d’assistance complémentaire, vous pouvez Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894901-faire-demande-deplafonnement-orange"
Télécharger vos factures Fixes sur Orange et Moi,"Vous pouvez télécharger vos factures Fixes : Après avoir rattaché votre ligne, allez à nouveau sur le menu latéral gauche, puis appuyez sur « Mes Factures» Défilez jusqu’à la facture à la télécharger, consulter et/ou appuyer sur « Télécharger » en PDF. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par mail: serviceclient@orange-sonatel.com, sur Messenger (http://bit.ly/2MZOgvF), Whatsapp au 00221771370101 ou sur le chat Orange et Moi(http://onelink.to/6h78t2) Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894900-telecharger-factures-fixes-orange"
Bloquer et annuler un transfert Orange Money dans Orange et Moi.,"Avec votre application Orange et Moi, vous pouvez bloquer et annuler instantanément un transfert Orange Money Pour ce faire, voici les étapes à suivre : Accédez à l’accueil, Appuyer sur « Assistance » puis sur « Voir tous les actes », choisir « Orange Money » , Appuyer sur « bloquer un transfert » et suivre les instructions Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894899-bloquer-annuler-transfert-orange-money-orange"
Comment suivre la conso de votre pass internet sur Orange et Moi?,"Avec votre application Orange et Moi, vous pouvez suivre la consommation de votre pass internet Pour ce faire, voici les étapes à suivre : Accédez à l’accueil, Appuyer sur « Voir détails » puis choisir « Internet »Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par mail: serviceclient@orange-sonatel.com, sur Messenger (http://bit.ly/2MZOgvF), Whatsapp au 00221771370101 ou sur le chat Orange et Moi(http://onelink.to/6h78t2) Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894898-suivre-conso-pass-internet-orange"
Comment savoir s'il y a promo ?,"Un SMS est envoyé à tous les clients concernés par la promo. En plus des SMS, les promos sont affichées sur le site www.Orange.sn Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par mail: serviceclient@orange-sonatel.com, sur Messenger (http://bit.ly/2MZOgvF), Whatsapp au 00221771370101 ou sur le chat Orange et Moi(http://onelink.to/6h78t2) Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894896-savoir-promo"
Trouver un contact facilement sur https://e-annuaire.orange.sn,"L’annuaire électronique est mise à la disposition du public par la Sonatel dans le cadre de sa mission d’opérateur de télécommunications au Sénégal. Cette plateforme web couplée à une application mobile entre aussi dans la démarche d’amélioration de la satisfaction client en donnant à ce dernier la possibilité d’effectuer ses propres recherches en toute autonomie et simplicité. L’accès à la plateforme web et à l’application mobile est gratuite. Conformément à sa politique d’amélioration continue, la Sonatel encourage les usagers à lui remonter leurs recommandations qui seront prises en compte dans les travaux de mise à jour. Il est aussi conseillé aux entreprises ne figurant pas dans cette annuaire ou souhaitant une meilleure visibilité de le faire savoir par mail à l’adresse serviceclient@orangebusiness.sn. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894886-trouver-contact-facilement-https-e-annuaire-orange-sn"
Code USSD et numéros utiles à connaitre,"Allo S'cool - #205# (reservés aux clients Jamono New S'Cool)Allo 1h - #255#Achat de pass Internet - #1234#Avis de joignabilité - #888# Connaitre son numéro - #237#Bonus Zone - #222#Consulter ou changer de profil Jamono - #605#Consulter ou changer de profil pour les prépayés- #605#Connaitre le coût et la durée du dernier appel émis - #123##Consulter son solde de crédit rechargé - #123#Dalal Tones - #26028# ou 204 007Prendre en charge les appels de certains numéros vers le votre - #666#Identifier le réseau utilisé par un numéro - #808#Identifier de son numéro - #236#Acheter un Illimix - #250#Konec'tel - #220#mLouma - #112#Orange Football Club - #555#Orange Money - #144#Orange Sargal - #221#Orange Woma - #321#Rappelle-moi - #120#Recharger une carte de crédit - *123*code de la carte# ou 606Samay niit - #444#Seddo - #116#Services Futés - #111#Blagues - #111#224#Proverbes - #111#283#Amour et Vie - #111#273#Conseils et Femmes - #111#271#English Lesson - #111#281#Horoscope - #111#225#Actualité APA - #111#261#Recettes de cuisine - #111#274#Culture générale - #111#284#Actualité BBC - #111#263#Actualité Jeune Afrique - #111#262#Astuces de Karelle - #111#277#Astuces Beauté - #111#278#Astuces Make-up - #111#276#Nutrifit - #111#252#Coaching dev perso - #111#285#SOS Crédit - *77*montant#Transfert bonus - #999#Vidéo à la demande - #100#Waax Ba Mar - #121#Wotel - *121*290# Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894885-code-ussd-numeros-utiles-connaitre"
Orange Money: J'ouvre mon compte en toute autonomie au #144#,"Vous pouvez désormais ouvrir votre compte Orange Money au #144#75#. Il suffit de suivre les instructions Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894884-orange-money-ouvre-compte-autonomie-144"
Avec le #144#7# je peux retrouver le code compte Orange Money en toute autonomie.,"Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894883-144-7-peux-retrouver-code-compte-orange-money-autonomie"
Comment vérifier le statut (Plafond) de votre Orange Money sur Orange et Moi?,"Sur Orange et Moi, vous pouvez désormais consulter le plafond de votre compte Orange Money. Appuyer sur le Menu au niveau de la page d'accueil Choisir Plafond Compte OM: Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894882-verifier-statut-plafond-orange-money-orange"
Comment avoir des informations sur Orange et Moi?,"Pour vous accompagner dans l'utilisation de votre application Orange et Moi, nous avons mis en place un espace dédié. RDV sur https://www.orange.sn/orange-et-moi pour plus de détails. Pour toute demande d’assistance, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail : mail: serviceclient@orange-sonatel.com ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894880-informations-orange"
Quelle est la carte Couverture réseau de orange Sénégal,"La carte de couverture vous permet de vérifier la couverture réseau. Elle est disponible sur https://www.orange.sn/couverture Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894876-carte-couverture-reseau-orange-senegal"
WinSport comment ça marche ?,"WinSport est une plateforme dédiée aux amoureux du sport. Elle propose les résultats et les actualités sur tout ce qui est sport : le football, le tennis, Handball, athlétisme. Le service est accessible via le lien https://sn.winsport.com et est facturé à hauteur de 100 F CFA. Une fois abonné, le client peut ainsi profiter pleinement des contenus disponibles dans la plateforme. Pour plus d’information, vous pouvez contacter le service client sur WhatsApp au 00221771370101, par mail : au serviceclient@orange-sonatel.com Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894874-winsport-marche"
Comment vérifier mon numéro Orange?,"Pour vérifier votre numéro Orange, il suffit de composer le #237#. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894872-verifier-numero-orange"
"Comment suivre la consommation de votre crédit , Illimix, et Pass internet sur Orange et Moi","Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894868-suivre-consommation-credit-illimix-pass-internet-orange"
Epargne Orange Money via M- BAOBAB,"Avec Orange Money et M Baobab, vous pouvez épargner avec une rémunération de 06%. Pour ce faire, RDV au #144#84# et suivre les instructions. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par mail: serviceclient@orange-sonatel.com, sur Messenger (http://bit.ly/2MZOgvF), Whatsapp au 00221771370101 ou sur le chat Orange et Moi(http://onelink.to/6h78t2) Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894866-epargne-orange-money-via-baobab"
Comment recharger sa carte Rapido avec Orange et Moi,"Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2894865-recharger-carte-rapido-orange"
